date,TrafficCount (#) 
2/13/20 9:30,18802
2/13/20 10:30,29829
2/13/20 11:30,32888
2/13/20 12:30,25512
2/13/20 13:30,25872
2/13/20 14:30,25746
2/13/20 15:30,22013
2/13/20 16:30,17386
2/13/20 17:30,13501
2/13/20 18:30,10306
2/13/20 19:30,6886
2/13/20 20:30,4488
2/13/20 21:30,3426
2/13/20 22:30,1783
2/13/20 23:30,1204
2/14/20 0:30,991
2/14/20 1:30,373
2/14/20 2:30,380
2/14/20 3:30,246
2/14/20 4:30,268
2/14/20 5:30,810
2/14/20 6:30,1169
2/14/20 7:30,2828
2/14/20 8:30,9048
2/14/20 9:30,19159
2/14/20 10:30,23952
2/14/20 11:30,30483
2/14/20 12:30,25359
2/14/20 13:30,31436
2/14/20 14:30,29697
2/14/20 15:30,24345
2/14/20 16:30,22036
2/14/20 17:30,17355
2/14/20 18:30,12523
2/14/20 19:30,7186
2/14/20 20:30,4457
2/14/20 21:30,3422
2/14/20 22:30,2097
2/14/20 23:30,1154
2/15/20 0:30,539
2/15/20 1:30,298
2/15/20 2:30,429
2/15/20 3:30,201
2/15/20 4:30,448
2/15/20 5:30,574
2/15/20 6:30,443
2/15/20 7:30,335
2/15/20 8:30,831
2/15/20 9:30,1139
2/15/20 10:30,854
2/15/20 11:30,810
2/15/20 12:30,819
2/15/20 13:30,960
2/15/20 14:30,929
2/15/20 15:30,702
2/15/20 16:30,775
2/15/20 17:30,700
2/15/20 18:30,1191
2/15/20 19:30,866
2/15/20 20:30,486
2/15/20 21:30,440
2/15/20 22:30,645
2/15/20 23:30,346
2/16/20 0:30,217
2/16/20 1:30,55
2/16/20 2:30,283
2/16/20 3:30,88
2/16/20 4:30,101
2/16/20 5:30,171
2/16/20 6:30,88
2/16/20 7:30,348
2/16/20 8:30,897
2/16/20 9:30,776
2/16/20 10:30,981
2/16/20 11:30,904
2/16/20 12:30,1223
2/16/20 13:30,1037
2/16/20 14:30,992
2/16/20 15:30,909
2/16/20 16:30,1527
2/16/20 17:30,1137
2/17/20 9:30,3617
2/17/20 10:30,13520
2/17/20 11:30,15044
2/17/20 12:30,10907
2/17/20 13:30,11561
2/17/20 14:30,16620
2/17/20 15:30,12419
2/17/20 16:30,7707
2/17/20 17:30,6606
2/17/20 18:30,4874
2/17/20 19:30,3115
2/17/20 20:30,1668
2/17/20 21:30,819
2/17/20 22:30,3152
2/17/20 23:30,1982
2/18/20 0:30,708
2/18/20 1:30,561
2/18/20 2:30,345
2/18/20 3:30,247
2/18/20 4:30,366
2/18/20 5:30,478
2/18/20 6:30,997
2/18/20 7:30,3778
2/18/20 8:30,10252
2/18/20 9:30,18227
2/18/20 10:30,32822
2/18/20 11:30,43705
2/18/20 12:30,27778
2/18/20 13:30,30905
2/18/20 14:30,31418
2/18/20 15:30,25820
2/18/20 16:30,24414
2/18/20 17:30,19752
2/18/20 18:30,15151
2/18/20 19:30,9358
2/18/20 20:30,7094
2/18/20 21:30,4557
2/18/20 22:30,3323
2/18/20 23:30,1479
2/19/20 0:30,910
2/19/20 1:30,607
2/19/20 2:30,402
2/19/20 3:30,370
2/19/20 4:30,436
2/19/20 5:30,446
2/19/20 6:30,1358
2/19/20 7:30,3053
2/19/20 8:30,8466
2/19/20 9:30,18943
2/19/20 10:30,27345
2/19/20 11:30,30707
2/19/20 12:30,24932
2/19/20 13:30,26665
2/19/20 14:30,32337
2/19/20 15:30,25782
2/19/20 16:30,23083
2/19/20 17:30,18466
2/19/20 18:30,14514
2/19/20 19:30,8659
2/19/20 20:30,4547
2/19/20 21:30,3565
2/19/20 22:30,2925
2/19/20 23:30,971
2/20/20 0:30,840
2/20/20 1:30,437
2/20/20 2:30,562
2/20/20 3:30,169
2/20/20 4:30,283
2/20/20 5:30,659
2/20/20 6:30,1954
2/20/20 7:30,3579
2/20/20 8:30,8477
2/20/20 9:30,17352
2/20/20 10:30,25799
2/20/20 11:30,28764
2/20/20 12:30,23460
2/20/20 13:30,26226
2/20/20 14:30,32851
2/20/20 15:30,22919
2/20/20 16:30,20978
2/20/20 17:30,17519
2/20/20 18:30,15122
2/20/20 19:30,8464
2/20/20 20:30,4365
2/20/20 21:30,3121
2/20/20 22:30,3057
2/20/20 23:30,1086
2/21/20 0:30,984
2/21/20 1:30,488
2/21/20 2:30,630
2/21/20 3:30,349
2/21/20 4:30,239
2/21/20 5:30,742
2/21/20 6:30,727
2/21/20 7:30,1954
2/21/20 8:30,5123
2/21/20 9:30,10251
2/21/20 10:30,17411
2/21/20 11:30,22033
2/21/20 12:30,14882
2/21/20 13:30,19052
2/21/20 14:30,19697
2/21/20 15:30,13278
2/21/20 16:30,12998
2/21/20 17:30,9789
2/21/20 18:30,7537
2/21/20 19:30,4938
2/21/20 20:30,2958
2/21/20 21:30,1893
2/21/20 22:30,1479
2/21/20 23:30,1167
2/22/20 0:30,434
2/22/20 1:30,351
2/22/20 2:30,367
2/22/20 3:30,306
2/22/20 4:30,178
2/22/20 5:30,476
2/22/20 6:30,293
2/22/20 7:30,244
2/22/20 8:30,333
2/22/20 9:30,1025
